reference_name,ref_super_class,status,selected_name,selected_super_class,price,match_percent,candidates_after_super_class_guards,rejected_by_forbidden,rejected_by_anchor,is_bad_match,bad_match_reason
"ГОВЯДИНА вырезка б/к пояснично-повздошная мышца с/м вес 1,5 кг. Пинск",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
ГОВЯДИНА лопаточный отруб без кости с/м вес 10 кг. Эталон,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
ГОВЯДИНА тазобедренный отруб внутренняя часть Topside огузок бескостная с/м вес 21 кг. Minerva Брази,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
ГОВЯДИНА мраморная боковая часть тазобедренного отруба б/к (Knuckle peeled) с/м вес 6 кг. Эталон,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
СЫР Бри 60% 125 гр. NATURA SELECTION,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,84,402,0,0,True,сыр→сырники
СЫР Брынза 45% 450 гр. (500 гр с сывороткой) Natura,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,87,402,0,0,True,сыр→сырники
"СЫР Пармезан 40% вес 2,25 кг. Джюгас",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
СЫР твердый Палермо 40% крошка (срок созревания 6 месяцев) 300 гр. PALERMO,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,91,402,0,0,True,сыр→сырники
СЫР полутвердый для пиццы Моцарелла Сырный Борт Стрингчиз 34% 500 гр. Alti,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,69,402,0,0,True,сыр→сырники
"СЫР плавленый Дружба 45%, 400 гр. Карат",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,90,402,0,0,True,сыр→сырники
СЫР Сулугуни 45% 1 кг. FriendChef,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,91,402,0,0,True,сыр→сырники
"СЫР творожный 70% 5,5 кг. PROFI CHEESE",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,85,402,0,0,True,сыр→сырники
Доширак лапша говядина 90гр,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
Сыр Гранд блю с голубой плесенью 56% 100гр,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
Сыр моцарелла Гальбани мини 45% 20 шар 150гр/6шт,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,83,402,0,0,True,сыр→сырники
Сыр Фета Сиртаки ориджинал 55% 500гр,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,89,402,0,0,True,сыр→сырники
"СЫР Моцарелла для пиццы белково-жировой продукт 50% ~1,3 кг батон, COOK_ME, РОССИЯ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,40,402,0,0,True,сыр→сырники
"СЫР Фета в рассоле 45% 400 г/480 г , HOCHLAND PROFESSIONAL, РОССИЯ (-FP-)",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,41,402,0,0,True,сыр→сырники
"ГОВЯДИНА вырезка с головой с цепочкой 1,3-1,8 кг, MERCURIO ALIMENTOS, БРАЗИЛИЯ",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"ГОВЯДИНА лопатка I, ФЛАГМАН, РОССИЯ",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"СЫР Маскарпоне 83% 500 г,COOKING,БЕЛАРУСЬ (-FP-)",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,78,402,0,0,True,сыр→сырники
"СЫР Моцарелла для пиццы 40% 1 кг кубик, HOCHLAND PROFESSIONAL, РОССИЯ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,42,402,0,0,True,сыр→сырники
"СЫР Моцарелла для пиццы молокосодержащий продукт, Gourmet Fit 40% 1 кг кубик, ALTI, РОССИЯ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,40,403,0,0,True,сыр→сырники
"СЫР Пармезан тертый крошка 40% 0,3 кг, COOK_ME, РОССИЯ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,42,402,0,0,True,сыр→сырники
"ГОВЯДИНА щековина 2,5-3,0 кг пакет, ТМК, РОССИЯ",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"СЫР Чеддер красный 50% ~4 кг,ПОСТАВЫ ГОРОДОК,БЕЛАРУСЬ (-F-)",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,73,402,0,0,True,сыр→сырники
"СЫР Креметте Professional творожный 65% 10 кг,CREMETTE PROFESSIONAL,РОССИЯ (-FP-)",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,43,402,0,0,True,сыр→сырники
"СЫР творожный сливочный 69% 1,5 кг, SABAH, ИРАН",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,86,402,0,0,True,сыр→сырники
"СЫР Камамбер с белой плесенью в панировке 50% 1 кг, ALTI, РОССИЯ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,43,402,0,0,True,сыр→сырники
"Говядина вырезка п/ф крупнокусковой б/к зам. ~2,000 кг Агроальянс",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Говядина тазобедренный отруб (ОКОВАЛОК) б/к зам ~6,500 кг Восход",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Сыр Маскарпоне мягкий тм Bonfesto 78% (0,500 кг) Беларусь",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,79,402,0,0,True,сыр→сырники
"Сыр Диаболо-Гурме ""ЛеСуперб"" (0,180 кг) упак. .",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,89,402,0,0,True,сыр→сырники
"Сыр Моцарелла Мини Гальбани 45% (0,150 кг) упак. .",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,82,402,0,0,True,сыр→сырники
"Сыр творожный из козьего молока Chevre President 65% 0,140кг",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,89,402,0,0,True,сыр→сырники
"Сыр Хохланд плавленый ломтевой Бистро Чеддар (1,107 кг - 90 ломтиков) упак. . ШТУКИ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
Сыр для пиццы Моцарелла Gourmet Alti 40% полутвердый ШТУКА 2кг 211405ф,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,75,402,0,0,True,сыр→сырники
"Сыр Моцарелла Ностра тертый кубик зам (1,000кг)",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,82,402,0,0,True,сыр→сырники
Сыр Пармезан выдержка 3 мес Melincue (Remotti) (~ 7.000 кг) Аргентина,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,89,402,0,0,True,сыр→сырники
"Сыр Чеддер красный ""Cheddar Red"" брус ( ~4,000 кг) упак Поставский Беларусь",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,73,402,0,0,True,сыр→сырники
"Сыр полутвердый с плесенью ""Горгонзола"" ТМ ""ЖАН"" (0,100 кг) упак. .",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,77,402,0,0,True,сыр→сырники
"Сырники твор. жар. зам. в/у (1,000 кг- *50г) упак. Про Вкус ОТГРУЗКА КОРОБАМИ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,52,402,0,0,True,сыр→сырники
Лапша быстрого приготовления Доширак (говядина) 90г,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Говядина ФЛАНК стейк,  c/м ~1кг",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Сыр ""Гауда"" ""Ферма Босконе"" 50% ~5 кг",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,88,402,0,0,True,сыр→сырники
"Сыр с голубой плесенью ""BERGER""  ~2,7 кг",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
"Говядина щека, с/м (ок. 3кг), Весовой ВетИС",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
Сырники творожные классические 70г ВетИС (50 шт),dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,36,402,0,0,True,сыр→сырники
"Говядина щека, с/м (ок. 3кг), Весовой ВетИС",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
Сырники творожные классические 70г ВетИС (50 шт),dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,36,402,0,0,True,сыр→сырники
Говядина грудинка Для Запекания из мрам. гов. (Plate Meat) б/к с/м в/у 3-5 кг ~20 кг/кор. Праймбиф,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
Говядина лопатка б/к с/м в/у ~9 кг ~20 кг/кор. ГОСТ 31797-2012 МГК,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Говядина Рибай (толстый филей, фермерский бычок) б/к с/м в/у ~5 кг ~20 кг/кор. Мираторг",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
Сыр Гауда 45% брус ~5 кг Навруз,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,91,402,0,0,True,сыр→сырники
Сыр Моцарелла в рассоле (шар) 45% 125 гр (6) Гальбани,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,81,402,0,0,True,сыр→сырники
"Сыр с голубой плесенью 55% ~2,5 кг ММЗ№1 РБ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
"Сыр твердый Пармезан 48% 12 мес ~1,5 кг Парменте (5023)",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,93,402,0,0,True,сыр→сырники
Сыр Фетакса б/рассола 45% 200 гр (8) Hochland - спец,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,90,402,0,0,True,сыр→сырники
Сырный продукт полутвердый Гауда 50% ~4 кг Ферма Босконе (Молочные горки),dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,34,402,0,0,True,сыр→сырники
Сырники обжаренные 7 кг/кор. Mr.Food,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,40,402,0,0,True,сыр→сырники
Сыр Oldenburger Пармезан Гойя 40% 3кг,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
"Сыр Творожный Profi Cheese 70% 2,2кг Ведро",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,73,402,0,0,True,сыр→сырники
